company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,Core / Broad Market,0.941102031005516
ADANIENSOL,0,Core / Broad Market,1.3235747795007071
ADANIENT,0,Core / Broad Market,1.4356327782097886
ADANIGREEN,1,Leveraged Financials,2.51009453818433
ADANIPORTS,4,Diversified / Growth (INDIGO ROE outlier present),1.37264391412933
ADANIPOWER,0,Core / Broad Market,1.098632251390702
AMBUJACEM,0,Core / Broad Market,0.6360202482511944
APOLLOHOSP,0,Core / Broad Market,0.5309045896638462
ASIANPAINT,0,Core / Broad Market,0.3702223674810183
ATGL,0,Core / Broad Market,1.865128917857913
AXISBANK,1,Leveraged Financials,0.8988082411614491
BAJAJ-AUTO,0,Core / Broad Market,0.6452972037455369
BAJAJFINSV,1,Leveraged Financials,1.025642754695966
BAJAJHLDNG,4,Diversified / Growth (INDIGO ROE outlier present),2.4522506395428243
BAJFINANCE,1,Leveraged Financials,1.604358393517881
BANKBARODA,1,Leveraged Financials,1.8031503474763928
BEL,2,Statistical Outliers (Extreme ROE -- small equity base),0.7606585956905569
BHARTIARTL,4,Diversified / Growth (INDIGO ROE outlier present),1.2808299805903671
BHEL,0,Core / Broad Market,2.4548752576984936
BOSCHLTD,0,Core / Broad Market,0.9490603538801362
BPCL,0,Core / Broad Market,0.5357209746063285
BRITANNIA,0,Core / Broad Market,1.5806073540032983
CANBK,1,Leveraged Financials,2.704439039063355
CHOLAFIN,1,Leveraged Financials,0.922721421599091
CIPLA,3,Statistical Outlier (Extreme FCF CAGR),0.0
COALINDIA,4,Diversified / Growth (INDIGO ROE outlier present),1.1290038301088037
DABUR,0,Core / Broad Market,0.8673827573657631
DIVISLAB,0,Core / Broad Market,0.7600567523314138
DLF,0,Core / Broad Market,2.455896747723465
DMART,0,Core / Broad Market,1.3314686077959224
DRREDDY,0,Core / Broad Market,1.2166767587305882
EICHERMOT,0,Core / Broad Market,0.4917259682101683
GAIL,0,Core / Broad Market,0.3579917101990957
GODREJCP,0,Core / Broad Market,0.6974598410398601
GRASIM,0,Core / Broad Market,0.9279446471090934
HAL,2,Statistical Outliers (Extreme ROE -- small equity base),0.7606585956905569
HAVELLS,0,Core / Broad Market,0.9032540226405622
HCLTECH,0,Core / Broad Market,0.4676205880975462
HDFCBANK,1,Leveraged Financials,0.5913520808073804
HDFCLIFE,4,Diversified / Growth (INDIGO ROE outlier present),1.3474839595992456
HEROMOTOCO,4,Diversified / Growth (INDIGO ROE outlier present),1.7158153412646042
HINDALCO,4,Diversified / Growth (INDIGO ROE outlier present),0.6146839834029667
HINDUNILVR,4,Diversified / Growth (INDIGO ROE outlier present),0.7343541013216481
ICICIBANK,1,Leveraged Financials,0.5759885611170779
ICICIGI,4,Diversified / Growth (INDIGO ROE outlier present),0.7333256609695957
ICICIPRULI,4,Diversified / Growth (INDIGO ROE outlier present),2.2435455346862647
INDIGO,4,Diversified / Growth (INDIGO ROE outlier present),2.401545582840645
INDUSINDBK,1,Leveraged Financials,0.6637736336265994
INFY,0,Core / Broad Market,0.3646913645613051
IOC,0,Core / Broad Market,0.5877029534590443
IRCTC,0,Core / Broad Market,1.3348468458490057
IRFC,1,Leveraged Financials,1.8488293771142048
ITC,0,Core / Broad Market,0.898283462858546
JINDALSTEL,0,Core / Broad Market,1.3755368498043097
JIOFIN,4,Diversified / Growth (INDIGO ROE outlier present),0.8315002503592513
JSWENERGY,0,Core / Broad Market,1.402431985812714
JSWSTEEL,0,Core / Broad Market,0.619053282545077
KOTAKBANK,4,Diversified / Growth (INDIGO ROE outlier present),1.3446487884070557
LICI,0,Core / Broad Market,2.045855858243736
LODHA,0,Core / Broad Market,2.114644485725416
LT,0,Core / Broad Market,0.9264621979986007
LTIM,0,Core / Broad Market,2.6306254744669624
M&M,0,Core / Broad Market,0.8467361250721325
MARUTI,0,Core / Broad Market,0.3400805735327613
MOTHERSON,0,Core / Broad Market,0.6200324049298432
NAUKRI,0,Core / Broad Market,0.8733853252368801
NESTLEIND,0,Core / Broad Market,0.5593237895341365
NHPC,0,Core / Broad Market,2.003493816680807
NTPC,0,Core / Broad Market,0.4735545761647595
ONGC,0,Core / Broad Market,0.6112363307242563
PFC,1,Leveraged Financials,1.284219324112651
PIDILITIND,0,Core / Broad Market,0.4660087596186115
PNB,1,Leveraged Financials,1.373043206313117
POWERGRID,4,Diversified / Growth (INDIGO ROE outlier present),1.5204268372229768
RECLTD,1,Leveraged Financials,2.028362202061977
RELIANCE,0,Core / Broad Market,0.2530328303518802
SBILIFE,0,Core / Broad Market,1.9989806354837143
SBIN,0,Core / Broad Market,1.918269734786456
SHREECEM,0,Core / Broad Market,0.2825570714805777
SHRIRAMFIN,1,Leveraged Financials,1.3870848892493213
SUNPHARMA,0,Core / Broad Market,1.0972806575218956
TATACONSUM,0,Core / Broad Market,1.6777509298133413
TATAMOTORS,0,Core / Broad Market,0.5954162015594407
TATAPOWER,0,Core / Broad Market,0.8235593642600454
TATASTEEL,0,Core / Broad Market,0.626725096096598
TCS,0,Core / Broad Market,0.3514528252635435
TECHM,0,Core / Broad Market,0.6293036521005974
TITAN,0,Core / Broad Market,1.4948163832022052
TORNTPHARM,0,Core / Broad Market,0.7651228431247673
TRENT,0,Core / Broad Market,3.423171825600438
TVSMOTOR,0,Core / Broad Market,1.211460238357689
SIEMENS,0,Core / Broad Market,1.3952208292046355
